"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","HUR","WOMEN","PC_LF","M","2015-08",7.1,
"LUX","HUR","WOMEN","PC_LF","M","2015-09",7.1,
"LUX","HUR","WOMEN","PC_LF","M","2015-10",7.1,
"LUX","HUR","WOMEN","PC_LF","M","2015-11",7.1,
"LUX","HUR","WOMEN","PC_LF","M","2015-12",7.1,
"LUX","HUR","WOMEN","PC_LF","M","2016-01",6.9,
"LUX","HUR","WOMEN","PC_LF","M","2016-02",6.9,
"LUX","HUR","WOMEN","PC_LF","M","2016-03",6.8,
"LUX","HUR","WOMEN","PC_LF","M","2016-04",6.7,
"LUX","HUR","WOMEN","PC_LF","M","2016-05",6.5,
"LUX","HUR","WOMEN","PC_LF","M","2016-06",6.6,
"LUX","HUR","WOMEN","PC_LF","M","2016-07",6.4,
"LUX","HUR","WOMEN","PC_LF","M","2016-08",6.5,
"LUX","HUR","WOMEN","PC_LF","M","2016-09",6.5,
"LUX","HUR","WOMEN","PC_LF","M","2016-10",6.3,
"LUX","HUR","WOMEN","PC_LF","M","2016-11",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2016-12",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2017-01",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2017-02",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2017-03",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2017-04",5.4,
"LUX","HUR","WOMEN","PC_LF","M","2017-05",5.4,
"LUX","HUR","WOMEN","PC_LF","M","2017-06",5.5,
"LUX","HUR","WOMEN","PC_LF","M","2017-07",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2017-08",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2017-09",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2017-10",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2017-11",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2017-12",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2018-01",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2018-02",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2018-03",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2018-04",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2018-05",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2018-06",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2018-07",5.8,
